弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
754.54000,1,25,16777215,Tue Jul 21 19:10:49 2020,0,efd0c0ef,35749979399651335,这就叫专业
582.60500,1,25,16777215,Tue Jul 21 19:10:54 2020,0,6ade7435,35749982026858501,？？？？？？？？？？？
705.54600,1,25,16777215,Tue Jul 21 19:10:54 2020,0,9d3bf802,35749982151114755,异议！！！！！！！！！！
119.20000,1,25,16777215,Tue Jul 21 19:11:35 2020,0,5c195256,35750003483344903,哈哈哈哈
398.17500,1,25,16777215,Tue Jul 21 19:11:38 2020,0,ad0a488f,35750005258059781,？？？？？？？
606.95300,1,25,16777215,Tue Jul 21 19:11:38 2020,0,85b3efc,35750005426356227,四大名著看了三
139.39100,1,25,16777215,Tue Jul 21 19:11:45 2020,0,5c195256,35750008890327045,呵呵哈哈哈
103.86500,1,25,16777215,Tue Jul 21 19:11:48 2020,0,43e939d3,35750010527154179,oooooohhhhhhhhhhhhhh
727.37500,1,25,16777215,Tue Jul 21 19:11:53 2020,0,80d55b08,35750013309026307,ohhhhhhhhhhhh
554.18000,1,25,16777215,Tue Jul 21 19:12:15 2020,0,57f5647,35750024374124547,？？？？？？？
648.26200,1,25,16777215,Tue Jul 21 19:12:28 2020,0,85b3efc,35750031176761351,？
244.22800,1,25,16777215,Tue Jul 21 19:12:42 2020,0,5c195256,35750038713925637,确实
395.26600,5,25,15138834,Tue Jul 21 19:12:49 2020,0,ace3a62a,35750042341474307,大人，时代变了
136.38200,1,25,16777215,Tue Jul 21 19:12:57 2020,0,69510731,35750046408900611,哈哈哈哈哈哈
123.20600,1,25,16777215,Tue Jul 21 19:13:00 2020,0,1fba6e4d,35750047957123077,6666
134.16400,1,25,16777215,Tue Jul 21 19:13:11 2020,0,bab806af,35750053976997891,没有
203.96000,1,25,16777215,Tue Jul 21 19:13:28 2020,0,2948e7cd,35750062734704643,别开腔自己人！
201.09300,1,25,16777215,Tue Jul 21 19:14:17 2020,0,1fba6e4d,35750088782381063,????
151.34400,1,25,16777215,Tue Jul 21 19:14:25 2020,0,e80f6864,35750092752814085,巨人！！！！
29.91000,1,25,16777215,Tue Jul 21 19:14:47 2020,0,f52b7dba,35750104155553799,哈哈哈哈哈哈哈哈哈哈哈哈
401.13900,1,25,16777215,Tue Jul 21 19:14:50 2020,0,bc8a40bd,35750105862111239,打钱
