弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
4.11100,1,25,16777215,Wed Jul 22 18:07:03 2020,0,40877295,35793271980556295,二本
10.82800,1,25,16777215,Wed Jul 22 18:09:43 2020,0,a961c65c,35793355674746887,妈妈爱你
20.90600,1,25,16777215,Wed Jul 22 18:09:53 2020,0,a961c65c,35793360966909955,杨超越加油
26.73100,1,25,16777215,Wed Jul 22 18:09:58 2020,0,a961c65c,35793364013547523,多发点
34.87400,1,25,16777215,Wed Jul 22 18:10:07 2020,0,a961c65c,35793368291213317,等到你
41.57500,1,25,16777215,Wed Jul 22 18:10:13 2020,0,a961c65c,35793371805515779,超超越越
45.81000,1,25,16777215,Wed Jul 22 18:10:17 2020,0,a961c65c,35793374012243975,妹妹加油
51.24200,1,25,16777215,Wed Jul 22 18:10:23 2020,0,a961c65c,35793376876953605,无敌可爱
55.72800,1,25,16777215,Wed Jul 22 18:10:27 2020,0,a961c65c,35793379230482437,超可爱
4.60600,1,25,16777215,Wed Jul 22 18:10:43 2020,0,a961c65c,35793387465998339,支持
6.42000,1,25,16777215,Wed Jul 22 18:10:47 2020,0,cb488cc1,35793389459865605,清华大学
38.73900,1,25,16777215,Wed Jul 22 18:10:57 2020,0,e766d4d,35793394544410629,加油
27.40800,1,25,16777215,Wed Jul 22 18:11:08 2020,0,a961c65c,35793400427970567,越崽真可爱
50.48100,1,25,16777215,Wed Jul 22 18:11:15 2020,0,94d98ce,35793404264710151,高考550++++
38.76700,1,25,16777215,Wed Jul 22 18:11:19 2020,0,a961c65c,35793406486118405,爱你
43.46100,1,25,16777215,Wed Jul 22 18:11:24 2020,0,a961c65c,35793408943456261,加油
24.54500,1,25,16777215,Wed Jul 22 18:11:26 2020,0,10ad021f,35793409971060743,欢迎欢迎
25.09900,1,25,16777215,Wed Jul 22 18:11:34 2020,0,b155d80,35793414105071619,高考450
11.82300,1,25,16777215,Wed Jul 22 18:11:35 2020,0,f3cbc5d7,35793414454771717,每天一遍
8.23900,1,25,16777215,Wed Jul 22 18:11:57 2020,0,f90604b7,35793426354012163,我也来啦
0.00000,1,25,16777215,Wed Jul 22 18:12:34 2020,0,25f0bd9c,35793445640994821,保佑我 这次考试不要流动出去
8.92900,1,25,16777215,Wed Jul 22 18:12:44 2020,0,25f0bd9c,35793451003936773,冲啊啊啊啊啊啊啊啊
15.60600,1,25,16777215,Wed Jul 22 18:12:51 2020,0,25f0bd9c,35793454499364867,祈福祈福
8.83600,1,25,16777215,Wed Jul 22 18:13:05 2020,0,457cdd07,35793461883437059,中科大应用统计考研上岸。400+
29.88100,1,25,16777215,Wed Jul 22 18:13:09 2020,0,d827701d,35793463978491907,高考过本科线
36.47000,1,25,16777215,Wed Jul 22 18:13:12 2020,0,25f0bd9c,35793465428672519,超越附体！
46.67300,1,25,16777215,Wed Jul 22 18:13:22 2020,0,25f0bd9c,35793470774312967,保佑我啊啊啊啊啊啊
13.94900,1,25,16777215,Wed Jul 22 18:13:57 2020,0,d827701d,35793489281679367,借我点运气高考过本科线
30.12200,1,25,16777215,Wed Jul 22 18:14:03 2020,0,865aabd9,35793492196196359,法考必过
27.01000,1,25,16707842,Wed Jul 22 18:14:08 2020,0,cd42fe88,35793494829170693,许愿考试过过过
52.01100,1,25,16777215,Wed Jul 22 18:15:12 2020,0,ca3b02,35793528186994691,中考上520！
1.63300,1,25,16777215,Wed Jul 22 18:15:26 2020,0,25a887cc,35793535901892615,吸吸吸，姐姐保佑
13.95900,1,25,16777215,Wed Jul 22 18:16:34 2020,0,23a0e3aa,35793571529359367,超越女神 保佑重庆大学录我录我好不好
49.06500,1,25,16777215,Wed Jul 22 18:16:43 2020,0,5ce84327,35793576365391879,希望毕设能过答辩顺利
34.62000,1,25,16777215,Wed Jul 22 18:17:10 2020,0,ed658e91,35793590434660359,高考650+
40.38000,1,25,16777215,Wed Jul 22 18:17:26 2020,0,ed658e91,35793598538579975,吸吸吸吸吸吸
38.76600,1,25,16777215,Wed Jul 22 18:18:46 2020,0,c5672ce4,35793640462221315,8月找到一份好工作
22.06000,1,25,16777215,Wed Jul 22 18:19:10 2020,0,e6041252,35793653051424771,高考500分
60.73300,1,25,16777215,Wed Jul 22 18:19:15 2020,0,c5672ce4,35793655756750851,8月份找到一份好工作
42.23900,1,25,16777215,Wed Jul 22 18:19:38 2020,0,e6041252,35793667805413443,吸吸吸吸吸吸吸吸吸欧气
39.03500,1,25,16777215,Wed Jul 22 18:20:10 2020,0,73f6548f,35793684731527171,高考360+
0.53900,1,25,16777215,Wed Jul 22 18:20:24 2020,0,c8be6398,35793692070510599,吸吸吸吸吸吸吸吸吸
20.86900,1,25,16777215,Wed Jul 22 18:20:39 2020,0,cf2e57be,35793699875061765,欢迎妹妹
