弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
199.92700,1,25,16777215,Wed Jul 22 09:10:49 2020,0,fe4d125,35776403800588293,1
219.94400,1,25,16777215,Wed Jul 22 09:11:00 2020,0,b381af48,35776409392119815,三星：无处不在
149.80100,1,25,16777215,Wed Jul 22 09:11:05 2020,0,326cf92a,35776411823767555,AMD能填补华为在台积电的份额？你太看得起AMD了
199.09000,1,25,16777215,Wed Jul 22 09:11:13 2020,0,cd1f5c3a,35776416161202181,22222
197.81900,1,25,16777215,Wed Jul 22 09:11:13 2020,0,712c40a1,35776416313245703,1
615.20700,1,25,16777215,Wed Jul 22 09:11:53 2020,0,28db6149,35776437287911429, 咸吃萝卜淡操心
226.36700,1,25,16777215,Wed Jul 22 09:11:59 2020,0,65d08cae,35776440394842117,中芯自身难保了 开玩笑呢
75.34000,1,25,16777215,Wed Jul 22 09:12:03 2020,0,5359663d,35776442534461445,联发科就完事了  
84.13900,1,25,16777215,Wed Jul 22 09:12:31 2020,0,be39c816,35776457104949255,2
292.40500,1,25,16777215,Wed Jul 22 09:12:51 2020,0,b381af48,35776467752714243,华为如果和三星合作好还可以
603.18500,5,25,15138834,Wed Jul 22 09:13:01 2020,0,ffef29f1,35776472904368133,2
574.10200,1,25,16777215,Wed Jul 22 09:13:30 2020,0,859d4e61,35776488133361669,联发科要一飞冲天了
584.78200,1,25,16777215,Wed Jul 22 09:13:46 2020,0,859d4e61,35776496234135557,第三批
484.13100,1,25,16777215,Wed Jul 22 09:13:51 2020,0,1dc1d9eb,35776498994511877,2222
606.79400,5,25,16777215,Wed Jul 22 09:13:53 2020,0,9ac5d4f,35776500190412803,龙芯
598.02000,1,25,16777215,Wed Jul 22 09:13:59 2020,0,19fb8ee2,35776503400628231,苹果
605.18000,1,25,16777215,Wed Jul 22 09:14:19 2020,0,24048627,35776513847066631,2
473.30400,1,25,16777215,Wed Jul 22 09:14:22 2020,0,a5799a33,35776515482845191,？没有找谁生产？
196.94000,1,25,16777215,Wed Jul 22 09:14:27 2020,0,be39c816,35776517907152899,1
196.30800,1,25,16777215,Wed Jul 22 09:15:40 2020,0,781b3682,35776556004016135,1
607.89000,1,25,16777215,Wed Jul 22 09:15:55 2020,0,1dc1d9eb,35776563873579015,33333
335.85000,1,25,16777215,Wed Jul 22 09:16:09 2020,0,638f0d42,35776571203649539,现在还在骂华为的是脑瘫？
611.99000,1,25,16777215,Wed Jul 22 09:16:19 2020,0,4d93a9dc,35776576393576453,2222
460.66400,1,25,16777215,Wed Jul 22 09:16:23 2020,0,8988590d,35776578717220867,都只是为了赚钱
474.57200,1,25,16777215,Wed Jul 22 09:17:25 2020,0,8988590d,35776611258204163,绝对不可能，苹果自己也要生产
618.29400,1,25,16777215,Wed Jul 22 09:17:54 2020,0,31bf01c0,35776626212470787,支持华为破产
612.40000,1,25,16777215,Wed Jul 22 09:18:03 2020,0,83201523,35776631191109635,3
626.19300,1,25,16777215,Wed Jul 22 09:18:17 2020,0,83201523,35776638313037827,1
197.91900,1,25,16777215,Wed Jul 22 09:18:31 2020,0,a321e701,35776645799870471,2
554.83300,1,25,16777215,Wed Jul 22 09:18:35 2020,0,b381af48,35776647753367555,联发科一些人被oppo挖走了
597.76000,1,25,16777215,Wed Jul 22 09:18:35 2020,0,ab01ca34,35776648099397639,22222222
337.10600,1,25,16777215,Wed Jul 22 09:18:44 2020,0,e323a2ff,35776652622954499,台积电也别无选择
522.28000,1,25,16777215,Wed Jul 22 09:20:16 2020,0,3b0eb95c,35776700737388549,三星功耗控不住
516.26900,1,25,16777215,Wed Jul 22 09:21:23 2020,0,e323a2ff,35776736168771589,Mtk 
278.76100,1,25,41194,Wed Jul 22 09:21:24 2020,0,5d48a55a,35776736338640899,intel是自产自销
198.46100,1,25,16777215,Wed Jul 22 09:21:40 2020,0,db9523f9,35776744658567171,1
279.61500,1,25,38979,Wed Jul 22 09:21:45 2020,0,5d48a55a,35776747761827847,还有英伟达
626.55800,1,25,16777215,Wed Jul 22 09:22:20 2020,0,9fcd6fc8,35776765706633223,中芯国际
436.11500,1,25,16777215,Wed Jul 22 09:22:33 2020,0,13cfbd04,35776772531814403,华为加了不止一次的钱，禁令生效前利益最大化而已
606.20300,1,25,16777215,Wed Jul 22 09:23:38 2020,0,2335b92e,35776806731644935,3
611.44900,1,25,16777215,Wed Jul 22 09:23:38 2020,0,bb622a3b,35776806805569539,4444444
605.60500,1,25,16777215,Wed Jul 22 09:24:12 2020,0,8665e242,35776824384421891,发哥冲
549.38200,1,25,16777215,Wed Jul 22 09:24:25 2020,0,13cfbd04,35776831409881093,联发科要崛起了？
417.16300,1,25,16777215,Wed Jul 22 09:24:30 2020,0,ec8aa42,35776833952677893,台积电才没有那么伟大里，那都是钱。
85.19900,1,25,16777215,Wed Jul 22 09:25:14 2020,0,b65f9226,35776856988844037,1
198.54100,1,25,16777215,Wed Jul 22 09:25:35 2020,0,76df4f59,35776868081729543,2
605.81100,1,25,16777215,Wed Jul 22 09:25:42 2020,0,9aa21ed1,35776871666286595,4
568.24100,1,25,16777215,Wed Jul 22 09:26:16 2020,0,13f7de4b,35776889839157253,唉，没得麒麟的华为手机
483.01300,1,25,16777215,Wed Jul 22 09:26:24 2020,0,db9523f9,35776893836328965,2
90.46000,5,18,14811775,Wed Jul 22 09:26:59 2020,0,3ac0f99a,35776912032792583,2333333
327.94800,1,25,16777215,Wed Jul 22 09:27:24 2020,0,a4670290,35776925526392835,够意思了
135.34100,1,25,16777215,Wed Jul 22 09:27:25 2020,0,ef53d18a,35776925652221957,欧洲市场呢
606.04300,1,25,16777215,Wed Jul 22 09:27:42 2020,0,ec8aa42,35776934734462983,2
529.37100,1,25,16777215,Wed Jul 22 09:28:14 2020,0,b9fdb15d,35776951581409285,高通不是美国企业吗
601.72100,1,25,16777215,Wed Jul 22 09:28:23 2020,0,db9523f9,35776956080848899,3
624.84500,1,25,16777215,Wed Jul 22 09:28:46 2020,0,db9523f9,35776968186658819,2
261.13900,1,25,16777215,Wed Jul 22 09:28:57 2020,0,b65f9226,35776974115307525,跟你喜欢那款手机有关系？现在是国家利益，没有华为，就没有中国自己的研发的芯片
479.04100,1,25,16777215,Wed Jul 22 09:29:26 2020,0,b2f667cd,35776989079011331,111
200.48500,1,25,16777215,Wed Jul 22 09:29:39 2020,0,6a0e8a53,35776995816112135,1
223.75000,1,25,16777215,Wed Jul 22 09:30:15 2020,0,614d2692,35777014977789957,对  没台积电 大陆芯片还能早几十年
335.06000,1,25,16777215,Wed Jul 22 09:30:46 2020,0,31239968,35777031338196999,尽力了
599.36100,1,25,16777215,Wed Jul 22 09:31:30 2020,0,b2f667cd,35777054045110277,2
607.50300,1,25,16777215,Wed Jul 22 09:31:46 2020,0,8a680069,35777062404882435,和我合作
435.02700,1,25,16777215,Wed Jul 22 09:32:05 2020,0,3fe468d8,35777072450764805,这泪目个屁啊，又不是没给钱
605.01000,1,25,16777215,Wed Jul 22 09:32:37 2020,0,3fb5292b,35777089545699335,华为退出手机市场，像高通一样，卖芯片
77.06800,1,25,16777215,Wed Jul 22 09:32:41 2020,0,33f75198,35777091260645383,不是还有中芯？
507.11300,1,25,16777215,Wed Jul 22 09:33:00 2020,0,20f0d728,35777101675626501,你买一个试试，说话简直不经大脑
327.91000,1,25,16777215,Wed Jul 22 09:33:07 2020,0,614d2692,35777105176297479,没有台积电  大陆芯片前进十年以上
601.71700,1,25,16777215,Wed Jul 22 09:33:40 2020,0,6e5c972e,35777122190491655,2
643.73200,1,25,16777215,Wed Jul 22 09:33:45 2020,0,adeee2f1,35777125129650181,用苹果A系列
