弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
2374.68500,1,25,16777215,Wed Jul 22 14:39:09 2020,0,5dfbd86e,35786732352831495,111111
2375.05200,1,25,16777215,Wed Jul 22 14:39:10 2020,0,a4843ac2,35786732407357443,1
2381.01500,1,25,16777215,Wed Jul 22 14:39:23 2020,0,49a6bece,35786739458506759,11111
2381.84300,1,25,16777215,Wed Jul 22 14:39:29 2020,0,cc3c4f55,35786742711189507,1
2380.13200,1,25,16777215,Wed Jul 22 14:39:30 2020,0,3e9592b3,35786742927720455,1
2378.01500,1,25,16777215,Wed Jul 22 14:39:30 2020,0,fffb8a95,35786743041490947,1
2379.49500,1,25,16777215,Wed Jul 22 14:39:33 2020,0,42e0e050,35786744469127173,1
2393.27000,1,25,16777215,Wed Jul 22 14:39:34 2020,0,d5fdd882,35786745268142085,1
2386.89200,1,25,16777215,Wed Jul 22 14:39:36 2020,0,3e9592b3,35786746451460101,11
1063.28800,5,25,16646914,Wed Jul 22 14:39:37 2020,0,afbcd602,35786746945863683,盗    版    锁    血
2309.82100,1,25,16777215,Wed Jul 22 14:39:44 2020,0,73edfb34,35786750260412421,哇 说的好
2376.78800,1,25,16777215,Wed Jul 22 14:39:44 2020,0,14505d18,35786750376804357,1
2379.39000,5,25,15138834,Wed Jul 22 14:39:47 2020,0,6b85d43e,35786751986368519,111111
2373.67400,1,25,16777215,Wed Jul 22 14:39:49 2020,0,d0d61f39,35786753198522373,1
2380.75500,1,25,16777215,Wed Jul 22 14:39:51 2020,0,7b729f27,35786754351955975,11111
2374.79700,1,25,16777215,Wed Jul 22 14:39:52 2020,0,490cf217,35786754427977731,111
2122.97000,5,25,16777215,Wed Jul 22 14:39:52 2020,0,b62f22dd,35786754691694595,没听懂？没有“残肢断臂，肝脑涂地的渲染”不是没有残肢断臂肝脑涂地
2074.08100,1,25,16777215,Wed Jul 22 14:39:55 2020,0,1fbf5e9,35786756381999109,ohhhhhhhhh
1065.92200,5,25,16646914,Wed Jul 22 14:39:56 2020,0,afbcd602,35786756470079493,五   毛   外   挂
429.45800,1,25,16777215,Wed Jul 22 14:39:56 2020,0,3c4faa84,35786756523032583,右下角为什么有个滑稽脸？
2392.66900,1,25,16777215,Wed Jul 22 14:39:58 2020,0,f6ab9bcb,35786757664931847,111
2375.44100,1,25,16777215,Wed Jul 22 14:39:59 2020,0,3925cddb,35786758534725639,1
2374.43800,1,25,16777215,Wed Jul 22 14:40:04 2020,0,b78e7345,35786760855748615,1
2374.40700,1,25,16646914,Wed Jul 22 14:40:07 2020,0,f72325a6,35786762233577477,1
1031.06800,1,25,16777215,Wed Jul 22 14:40:13 2020,0,16ead176,35786765788250119,777
2384.02800,1,25,16777215,Wed Jul 22 14:40:19 2020,0,cb175ed7,35786768701718533,1111
2377.56400,1,25,16777215,Wed Jul 22 14:40:20 2020,0,d094a1f1,35786769527472133,11111
2375.42400,1,25,16777215,Wed Jul 22 14:40:22 2020,0,52d592b3,35786770306039815,1
2388.31900,1,25,16777215,Wed Jul 22 14:40:23 2020,0,c828bcb2,35786770857590791,1111111
571.65100,1,25,16777215,Wed Jul 22 14:40:29 2020,0,43cb7bc8,35786773831352327,他们还是她们
2377.08900,1,25,16777215,Wed Jul 22 14:40:36 2020,0,7cb8502c,35786777853689863,11111111
2093.10600,1,25,16777215,Wed Jul 22 14:40:37 2020,0,d64fcffe,35786777983713287,天，太神了
3.19100,5,25,16646914,Wed Jul 22 14:40:37 2020,0,296fd170,35786778129989639,旷世神作！
