弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
769.12600,1,25,16777215,Wed Jul 22 14:51:03 2020,0,ae0709ac,35787106369404935,致敬
772.13500,1,25,16777215,Wed Jul 22 14:51:15 2020,0,c5b6dfa7,35787112916189187,致敬
604.09900,5,25,15138834,Wed Jul 22 14:51:22 2020,0,eaaf0b26,35787116316196871,聚是一团火，散是满天星
79.81200,1,25,16777215,Wed Jul 22 14:51:31 2020,0,e3bb5457,35787121043177477,zhijing
95.07500,1,25,16777215,Wed Jul 22 14:51:44 2020,0,e3bb5457,35787127798104067,致敬
8.54000,1,25,16777215,Wed Jul 22 14:51:50 2020,0,40fde4db,35787130853654535,再来亿遍
148.19700,1,25,16777215,Wed Jul 22 14:51:51 2020,0,f2ea1c15,35787131428798469,爱了爱了爱了
358.99700,1,25,16777215,Wed Jul 22 14:52:01 2020,0,95ca1f92,35787136951123971,致敬英雄
773.45300,1,25,16777215,Wed Jul 22 14:52:10 2020,0,4d4a02de,35787141639831559,致敬
767.12100,1,25,16777215,Wed Jul 22 14:52:32 2020,0,49771aeb,35787152864313347,致敬
357.33000,1,25,16777215,Wed Jul 22 14:52:58 2020,0,1940661e,35787166463295493,致敬
535.32600,1,25,16777215,Wed Jul 22 14:53:03 2020,0,68a1753c,35787169434435591,好会写作文
223.58200,1,25,16777215,Wed Jul 22 14:53:06 2020,0,f2ea1c15,35787170956967939,致敬！
417.38200,1,25,16777215,Wed Jul 22 14:53:12 2020,0,40fde4db,35787174017761283,三连有了，必须安排
785.62400,1,25,16777215,Wed Jul 22 14:53:25 2020,0,32c9aed9,35787181142310919,致敬
55.23700,1,25,16777215,Wed Jul 22 14:53:26 2020,0,901995a4,35787181610500101,致敬
253.33900,1,25,16777215,Wed Jul 22 14:53:36 2020,0,f2ea1c15,35787186557681667,骇客是搞破坏的
778.70700,1,25,15138834,Wed Jul 22 14:53:56 2020,0,37bfd6d9,35787197179756549,致敬
177.41900,1,25,16777215,Wed Jul 22 14:54:05 2020,0,db4348f8,35787202089189447,红客牛逼
617.61900,1,25,16777215,Wed Jul 22 14:55:15 2020,0,4cf5cc3d,35787238665617411,聚是一团火，散是满天星。
362.47600,1,25,16777215,Wed Jul 22 14:55:19 2020,0,e3bb5457,35787240466022407,泪目
772.10000,1,25,16777215,Wed Jul 22 14:55:35 2020,0,943ef263,35787249186504707,致敬
595.42700,1,25,16777215,Wed Jul 22 14:55:41 2020,0,5d46d699,35787252388331527,聚是一团火，散是满天星
570.46200,5,25,15138834,Wed Jul 22 14:56:00 2020,0,40fde4db,35787262132224005,泪目
82.81200,1,25,16777215,Wed Jul 22 14:56:23 2020,0,597dcb56,35787274093854727,默哀
230.95200,1,25,15138834,Wed Jul 22 14:56:48 2020,0,f368da5c,35787287399235589,致敬
347.56000,1,25,16777215,Wed Jul 22 14:56:55 2020,0,db4348f8,35787291229159429,致敬
465.85600,1,25,16777215,Wed Jul 22 14:57:08 2020,0,f2ea1c15,35787297999290373,NB
82.92000,1,25,16777215,Wed Jul 22 14:57:09 2020,0,3f215d24,35787298387787781,默哀
772.08600,1,25,16777215,Wed Jul 22 14:57:16 2020,0,98d7f7d8,35787302010617861,致敬
257.07700,1,25,15138834,Wed Jul 22 14:57:17 2020,0,f368da5c,35787302369755139,全体起立鼓掌
594.79300,1,25,16777215,Wed Jul 22 14:57:25 2020,0,dc9c6d97,35787306814668805,聚是一团火，散是满天星
775.82700,1,25,16777215,Wed Jul 22 14:57:26 2020,0,13ff3f5,35787307233574919,致敬
730.63200,1,25,16777215,Wed Jul 22 14:57:27 2020,0,a846f120,35787307785125891,恶心
779.46700,1,25,16777215,Wed Jul 22 14:57:47 2020,0,daac29b5,35787318406152195,致敬
294.95600,1,25,15138834,Wed Jul 22 14:57:48 2020,0,f368da5c,35787318770532355,致敬
182.00400,1,25,16777215,Wed Jul 22 14:58:02 2020,0,597dcb56,35787326188683267,致敬
316.23300,1,25,15138834,Wed Jul 22 14:58:05 2020,0,f368da5c,35787327730089991,中国万岁
781.62800,1,25,16777215,Wed Jul 22 14:58:18 2020,0,a846f120,35787334521192451,致敬
339.68800,1,25,15138834,Wed Jul 22 14:58:24 2020,0,f368da5c,35787337562587143,致敬
771.67300,1,25,16777215,Wed Jul 22 14:58:29 2020,0,da51a8e8,35787340317196293,致敬
348.93200,1,25,16777215,Wed Jul 22 14:58:36 2020,0,901995a4,35787343728214019,致敬
355.12200,1,25,15138834,Wed Jul 22 14:58:36 2020,0,f368da5c,35787343993503813,致敬
770.62400,1,25,16777215,Wed Jul 22 14:58:48 2020,0,5d46d699,35787350011281411,致敬
184.74400,1,25,15138834,Wed Jul 22 14:59:11 2020,0,3f215d24,35787362306883589,致敬
