弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
108.41400,1,25,16777215,Tue Jul 21 17:17:42 2020,0,edc301cc,35746420940603397,前方虐泉
57.32000,1,25,16777215,Tue Jul 21 17:17:46 2020,0,91d7921,35746423121117189,厉害！
49.37900,1,25,16777215,Tue Jul 21 17:18:38 2020,0,bf6e00b1,35746450730647555,强
54.96200,1,25,16777215,Tue Jul 21 17:18:44 2020,0,bf6e00b1,35746453665611779,好棒啊
79.79500,1,25,16777215,Tue Jul 21 17:19:09 2020,0,bf6e00b1,35746466719334407,卧槽，太棒了
89.06800,1,25,16777215,Tue Jul 21 17:22:58 2020,0,c11d7ec,35746587009351683,教练我想学
81.58800,5,25,15138834,Tue Jul 21 17:32:18 2020,0,9327380,35746880493191173,我的终极技能准备就绪了！
22.70000,1,25,16777215,Tue Jul 21 17:35:57 2020,0,ab8457cf,35746995134005253,she taught me how to
89.06900,1,25,16707842,Tue Jul 21 17:47:22 2020,0,ebdd33ff,35747354198409223,二倍速极其舒适
19.99100,1,25,16777215,Tue Jul 21 17:49:06 2020,0,ab0df4bc,35747408648339459,好可爱
0.03300,1,25,16777215,Tue Jul 21 17:50:41 2020,0,91935172,35747458791243779,哈哈哈哈哈哈哈啊哈哈哈哈哈哈
21.53400,1,25,16777215,Tue Jul 21 17:52:44 2020,0,2590b887,35747523214180357,为啥B站没有循环播放的设置？
86.45800,5,25,16777215,Tue Jul 21 17:53:33 2020,0,f8ff018b,35747548956196869,噫！
120.70400,1,25,16777215,Tue Jul 21 17:54:06 2020,0,6288ee6d,35747566322712579,杀疯了
12.11800,1,25,16777215,Tue Jul 21 17:56:31 2020,0,b69e80af,35747642469253127,大威天龙
46.16000,1,25,16777215,Tue Jul 21 17:59:53 2020,0,eb0633de,35747747918249991,我不自觉的走出了六亲不认的步伐。。。
33.09000,1,25,16777215,Tue Jul 21 17:59:55 2020,0,1eff66b1,35747749046517767,66
51.79000,1,25,16777215,Tue Jul 21 18:00:13 2020,0,1eff66b1,35747758802993157,卧槽NB
71.33900,1,25,16777215,Tue Jul 21 18:04:39 2020,0,f533b8f3,35747898291912707,学废了。
105.89100,1,25,16777215,Tue Jul 21 18:07:27 2020,0,64d384ca,35747986138464261,阿巴阿巴阿巴阿巴阿巴阿巴阿巴阿巴阿巴阿巴阿巴阿巴阿巴阿巴阿巴阿巴
57.50000,1,25,16777215,Tue Jul 21 18:09:41 2020,0,5ed3d10a,35748056240488453,这么可爱一拳下去也会哭吧
49.77400,1,25,16777215,Tue Jul 21 18:16:25 2020,0,4633f967,35748268294537223,？？？？？
99.32900,1,25,16777215,Tue Jul 21 18:16:26 2020,0,fb5a5d9d,35748268506349571,吔
33.59900,1,25,16777215,Tue Jul 21 18:22:23 2020,0,aab826fa,35748455662485511,卧槽
45.89300,1,25,16777215,Tue Jul 21 18:23:44 2020,0,aee0c2a4,35748498327994373,？？？？？
84.12600,1,25,16777215,Tue Jul 21 18:24:06 2020,0,7cdb248f,35748509808852995,阿巴阿巴
71.98600,5,25,16707842,Tue Jul 21 18:27:44 2020,0,a44bfc76,35748624160784391,二技能：嘲讽
87.30100,1,25,16777215,Tue Jul 21 18:30:47 2020,0,ce171d6d,35748720228696071,我不配站着
11.27500,1,25,16707842,Tue Jul 21 18:32:35 2020,0,df3778cc,35748776796225543,来了来了
98.85500,1,25,16707842,Tue Jul 21 18:34:03 2020,0,df3778cc,35748822699737091,哟得来以滴
110.33100,1,25,16707842,Tue Jul 21 18:34:14 2020,0,df3778cc,35748828736913415,？！！！！！！
10.08300,5,25,14811775,Tue Jul 21 18:40:38 2020,0,63c40068,35749029986435079,新手任务：打败一百级的大佬
102.37900,5,25,15138834,Tue Jul 21 18:41:11 2020,0,74c2139,35749047305764871,封印解除
113.53800,1,25,16777215,Tue Jul 21 18:45:25 2020,0,ea2f5d5b,35749180661563399,王总好
23.38900,1,25,16777215,Tue Jul 21 18:51:02 2020,0,f769bdbc,35749357134282759,上头了woc
22.29000,1,25,16777215,Tue Jul 21 18:52:50 2020,0,82f46288,35749413704957959,新手村新手村
111.88500,1,25,16777215,Tue Jul 21 18:54:53 2020,0,d542b05e,35749478059737093,？
37.99400,1,25,16777215,Tue Jul 21 18:59:47 2020,0,65e65471,35749632376045573,我上头了
50.17300,1,25,16777215,Tue Jul 21 19:02:38 2020,0,b10e47e,35749722010419271,哇
85.38000,1,25,16777215,Tue Jul 21 19:07:01 2020,0,2948e7cd,35749860135141379,前方高能
57.94100,1,25,16777215,Tue Jul 21 19:10:41 2020,0,abaced45,35749975173365763,老约德尔人
10.08400,1,25,16777215,Tue Jul 21 19:11:21 2020,0,3fb1b787,35749996187877381,我相信什么叫做一见钟情了
83.94000,1,25,16777215,Tue Jul 21 19:11:24 2020,0,8f749d2e,35749997624426501,Q呕儿～
88.91000,1,25,16777215,Tue Jul 21 19:13:56 2020,0,340c5603,35750077739302915,小男孩：这还比个屁
32.80900,1,25,16777215,Tue Jul 21 19:14:32 2020,0,9afadf30,35750096262397957,我鸡皮疙瘩起来了
14.75200,1,25,16777215,Tue Jul 21 19:16:14 2020,0,a1ebfb8d,35750149799018503,约德尔人
86.05100,5,25,15138834,Tue Jul 21 19:16:19 2020,0,76968399,35750152493858823,噫！
117.75200,5,25,15138834,Tue Jul 21 19:17:07 2020,0,76968399,35750177508687877,她～已～经～赢～嘞～
3.46000,1,25,16777215,Tue Jul 21 19:21:34 2020,0,9cf8de91,35750317845905415,首页通知书
104.03000,1,25,16777215,Tue Jul 21 19:22:34 2020,0,9cf8de91,35750349058342919,大招
32.58000,1,25,16777215,Tue Jul 21 19:25:39 2020,0,d4e3252,35750446016495623,太强了
111.19200,1,25,16777215,Tue Jul 21 19:26:59 2020,0,d4e3252,35750488223252487,？？？
18.67500,1,25,16777215,Tue Jul 21 19:30:41 2020,0,7462cdb9,35750604337840133,大佬
32.74400,1,25,16777215,Tue Jul 21 19:36:47 2020,0,fcdf429d,35750796485197827,王多鱼来了
117.83800,1,25,16707842,Tue Jul 21 19:39:08 2020,0,b3b1c02,35750870045425667,评委:淦，劳资都不会！
119.95700,1,25,16777215,Tue Jul 21 19:41:29 2020,0,76c5b689,35750944189710339,阿巴阿巴
19.77400,1,25,16777215,Tue Jul 21 19:49:30 2020,0,21f54e81,35751196334489603,乌克兰
101.97200,5,25,15138834,Tue Jul 21 19:49:57 2020,0,a8cbbbcd,35751210378592325,邪魅一笑
101.97200,5,25,15138834,Tue Jul 21 19:50:03 2020,0,a8cbbbcd,35751213648576517,邪魅一笑
47.70800,1,25,16777215,Tue Jul 21 19:50:07 2020,0,973a86b2,35751215674425349,眼睛好看
101.97200,4,25,16707842,Tue Jul 21 19:50:23 2020,0,a8cbbbcd,35751224403820551,此刻，超越极限)！
29.01900,1,25,16777215,Tue Jul 21 19:53:25 2020,0,f1cedbbe,35751319598792711,一技能准备
36.45100,1,25,16777215,Tue Jul 21 19:53:56 2020,0,f1cedbbe,35751335981744131,一技能发动
86.61900,1,25,16777215,Tue Jul 21 19:53:57 2020,0,aae05602,35751336317288455,噫
96.60600,1,25,16777215,Tue Jul 21 19:54:23 2020,0,aae05602,35751350156918789,战术停顿
54.27900,1,25,16777215,Tue Jul 21 19:57:45 2020,0,cc510607,35751455664111683,皮肤好好哦
56.87400,1,25,16777215,Tue Jul 21 19:58:11 2020,0,9811b817,35751469277773829,高配版我是大明星
112.90800,1,25,16777215,Tue Jul 21 19:58:11 2020,0,fdf90584,35751469696679939,牛逼
88.77300,5,25,16740868,Tue Jul 21 20:23:45 2020,0,a82d3afb,35752273559158789,你有问题
108.17900,1,25,16777215,Tue Jul 21 20:27:24 2020,0,98709c12,35752388806574083,全攻速约德尔人
52.70100,1,25,16777215,Tue Jul 21 20:29:24 2020,0,468cc5df,35752451620470791,驴驴驴
20.62700,1,25,16777215,Tue Jul 21 20:31:46 2020,0,360b9a05,35752525943537667,每天亿遍
102.76900,5,25,16646914,Tue Jul 21 20:33:18 2020,0,52555df3,35752574411341827,解        ！
60.98000,1,25,16777215,Tue Jul 21 20:39:30 2020,0,9c65dd0b,35752769021280259,大招Cd
66.13500,1,25,16777215,Tue Jul 21 20:42:25 2020,0,1c827ec0,35752861186392071,群山尖啸
117.98500,1,25,16777215,Tue Jul 21 20:43:17 2020,0,1c827ec0,35752888326160389,大招蓄满
88.73800,5,25,16646914,Tue Jul 21 20:47:08 2020,0,83141975,35753009434066951,男孩：你不对劲
7.85900,1,25,16777215,Tue Jul 21 20:56:32 2020,0,77652589,35753304848859143,欢迎回来
1.20000,1,25,16777215,Tue Jul 21 20:56:47 2020,0,77652589,35753313012023303,欢迎回来
3.39900,1,25,16777215,Tue Jul 21 20:56:54 2020,0,77652589,35753316495917063,欢迎回来
30.45800,1,25,16777215,Tue Jul 21 20:57:54 2020,0,77834522,35753347971547143,怎么感觉…这小女孩长的特别像蒋雯丽？？？？？
99.31400,1,25,16777215,Tue Jul 21 21:01:14 2020,0,c0587e52,35753453028900933,雷霆嘎巴
