弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
9.75600,1,25,16777215,Sat Jun 27 20:30:05 2020,0,5f298eee,34665309317103623,问如何通宵肝完，红牛枸杞方便面
64.34400,1,25,16777215,Sat Jun 27 20:34:23 2020,0,5f298eee,34665444821958663,开始吟唱
155.83600,1,25,16777215,Sat Jun 27 20:38:02 2020,0,5f298eee,34665559769481223,咩。。。。。。。。。。。。。。。。。
155.83600,1,25,16777215,Sat Jun 27 20:38:09 2020,0,5f298eee,34665563329396743,咩――――――――――――――
155.83600,1,25,16777215,Sat Jun 27 20:38:16 2020,0,5f298eee,34665566982111237,咩…～～～～～～～～～～～～～～～～
155.83600,1,25,16777215,Sat Jun 27 20:38:21 2020,0,5f298eee,34665569535393799,羊间的bgm
424.12000,1,25,16777215,Sat Jun 27 20:45:29 2020,0,5f298eee,34665793760264195,医学奇迹？
1072.04800,1,25,16777215,Sat Jun 27 21:06:29 2020,0,5f298eee,34666454453846023,大妹子你路走窄了
1072.04800,1,25,16777215,Sat Jun 27 21:06:34 2020,0,5f298eee,34666457161793539,完了完了，路走窄了
1072.04800,1,25,16777215,Sat Jun 27 21:06:50 2020,0,5f298eee,34666465267286023,妹子你完了！！！
130.75900,1,25,16777215,Sat Jun 27 21:11:41 2020,0,906653ff,34666618298564613,hhhhhhhg
1286.48300,1,25,16777215,Sat Jun 27 21:12:22 2020,0,5f298eee,34666639725690887,完结撒花！
549.74900,1,25,16777215,Sat Jun 27 21:22:03 2020,0,906653ff,34666943896092677,球还有血？
605.55000,1,25,16777215,Sat Jun 27 21:22:44 2020,0,95dcd180,34666965837021189,时间停止了
673.32900,1,25,16777215,Sat Jun 27 21:25:46 2020,0,906653ff,34667060852162567,大人是：鬼舞辻
1030.29900,1,25,16777215,Sat Jun 27 21:50:16 2020,0,c9d8d469,34667831919378439, 多能力者
413.55100,1,25,15138834,Sat Jun 27 21:50:49 2020,0,1ec72785,34667849027420167,前方高能
410.32200,5,25,15138834,Sat Jun 27 21:50:58 2020,0,1ec72785,34667853829373957,前方高能
1193.55100,1,25,16777215,Sat Jun 27 21:53:03 2020,0,c9d8d469,34667919311896579, 念动力
486.35200,5,25,16707842,Sat Jun 27 22:04:03 2020,0,37a2ecb2,34668265142747139,说归说，脱什么衣服，太见外了
706.86500,1,25,16777215,Sat Jun 27 23:57:33 2020,0,295e6074,34671835617951747,阿尔达突袭？
804.08700,5,25,15138834,Sat Jun 27 23:59:29 2020,0,c3efb144,34671896579538951,四条眉毛的秀啊
408.33900,1,25,16777215,Sun Jun 28 00:21:47 2020,0,b49be68f,34672598143991811,越前龙马吗
593.31900,1,25,16777215,Sun Jun 28 00:29:23 2020,0,94e456ec,34672836930437123,他又不是替身使者
776.64700,1,25,16777215,Sun Jun 28 01:15:50 2020,0,60436dc0,34674298511163399,什么梅？
1014.81300,1,25,16777215,Sun Jun 28 01:18:02 2020,0,60436dc0,34674367304564741,躲避球
494.47500,1,25,16777215,Sun Jun 28 03:19:24 2020,0,adbf0386,34678185302949895,就这还十二鬼月
505.07300,1,25,16777215,Sun Jun 28 03:19:47 2020,0,adbf0386,34678197362098179,六手霸王
411.39300,1,25,16777215,Sun Jun 28 03:51:49 2020,0,7e1615a7,34679205057789955,发条的那颗球吗
195.83700,1,25,16777215,Sun Jun 28 07:05:01 2020,0,5e752aa5,34685282894217221,你笑个得
